has,prefers,count
Bbm,Bbm,1252
Bbm,Fmaj7,12
Bbm,C#m,270
Bbm,Em7,1
Bbm,Cmaj7,0
Bbm,Dm7,6
Bbm,G/B,2
Bbm,G7,12
Bbm,G5,9
Bbm,Dm,119
Bbm,Bb,91
Bbm,C#,944
Bbm,Bm,80
Bbm,Db,1375
Bbm,other,4211
Bbm,G#,1279
Bbm,A7,15
Bbm,A5,0
Bbm,E7,1
Bbm,C7,174
Bbm,Fm,1598
Bbm,A,220
Bbm,C,632
Bbm,B,794
Bbm,E,226
Bbm,D,59
Bbm,G,85
Bbm,F,1401
Bbm,G#m,136
Bbm,D#m,455
Bbm,Em,59
Bbm,Ab,1809
Bbm,Cm,614
Bbm,D/F#,3
Bbm,Am,263
Bbm,D#,200
Bbm,Eb,960
Bbm,F#,2256
Bbm,Bm7,0
Bbm,D7,0
Bbm,Gm,100
Bbm,D5,0
Bbm,F#m,76
Bbm,Am7,17
Fmaj7,Bbm,9
Fmaj7,Fmaj7,1077
Fmaj7,Cadd9,123
Fmaj7,Em7,705
Fmaj7,Cmaj7,846
Fmaj7,Dm7,589
Fmaj7,Eb,14
Fmaj7,G7,193
Fmaj7,G5,7
Fmaj7,Asus2,55
Fmaj7,Asus4,14
Fmaj7,Bb,228
Fmaj7,C#,1
Fmaj7,Bm,30
Fmaj7,Dsus4,9
Fmaj7,other,4580
Fmaj7,G#,27
Fmaj7,C/G,435
Fmaj7,A5,2
Fmaj7,E7,265
Fmaj7,C7,16
Fmaj7,Fm,86
Fmaj7,Dsus2,132
Fmaj7,A,194
Fmaj7,C,9122
Fmaj7,B,21
Fmaj7,E,448
Fmaj7,D,169
Fmaj7,G,4011
Fmaj7,F,487
Fmaj7,F#,3
Fmaj7,A#,15
Fmaj7,Dm,777
Fmaj7,Em,875
Fmaj7,A7,33
Fmaj7,Ab,14
Fmaj7,Cm,7
Fmaj7,D/F#,11
Fmaj7,Am,3046
Fmaj7,D#,4
Fmaj7,G/B,13
Fmaj7,B7,50
Fmaj7,Bm7,56
Fmaj7,D7,131
Fmaj7,Gm,73
Fmaj7,D5,9
Fmaj7,F#m,13
Fmaj7,Am7,450
Cadd9,Fmaj7,188
Cadd9,Cadd9,2854
Cadd9,Dm7,46
Cadd9,C#m,33
Cadd9,Em7,7150
Cadd9,Cmaj7,262
Cadd9,A7,123
Cadd9,Eb,3
Cadd9,G7,39
Cadd9,G5,433
Cadd9,Dm,159
Cadd9,Asus4,269
Cadd9,Bb,65
Cadd9,C#,2
Cadd9,Bm,205
Cadd9,Dsus4,2175
Cadd9,other,4828
Cadd9,G#,8
Cadd9,Dsus2,484
Cadd9,E5,38
Cadd9,A5,0
Cadd9,E7,44
Cadd9,C7,28
Cadd9,Fm,5
Cadd9,A,299
Cadd9,C,2126
Cadd9,B,138
Cadd9,E,275
Cadd9,D,10739
Cadd9,G,33270
Cadd9,F,580
Cadd9,F#,21
Cadd9,G#m,0
Cadd9,A#,27
Cadd9,Asus2,207
Cadd9,Em,4512
Cadd9,Ab,28
Cadd9,Cm,62
Cadd9,D/F#,755
Cadd9,Am,2012
Cadd9,D#,11
Cadd9,G/B,1184
Cadd9,B7,136
Cadd9,Bm7,89
Cadd9,D7,169
Cadd9,Gm,75
Cadd9,D5,113
Cadd9,F#m,9
Cadd9,Am7,476
Cadd9,C/G,38
C#m,Bbm,188
C#m,Fmaj7,0
C#m,Cadd9,46
C#m,C#m,5052
C#m,Em7,50
C#m,Cmaj7,64
C#m,Dm7,3
C#m,G/B,3
C#m,G7,22
C#m,A#,53
C#m,Asus2,1118
C#m,Asus4,23
C#m,Bb,101
C#m,C#,264
C#m,Bm,4657
C#m,B7,163
C#m,Dsus4,9
C#m,other,8508
C#m,G#,1740
C#m,A7,146
C#m,E5,129
C#m,A5,77
C#m,E7,105
C#m,C7,13
C#m,Fm,80
C#m,Dsus2,74
C#m,A,29557
C#m,C,853
C#m,B,21615
C#m,E,12301
C#m,D,8403
C#m,G,676
C#m,F,123
C#m,G#m,5429
C#m,G5,3
C#m,Dm,332
C#m,Ab,352
C#m,Em,340
C#m,D#m,761
C#m,Cm,270
C#m,D/F#,12
C#m,Am,418
C#m,D#,402
C#m,Eb,185
C#m,F#,4055
C#m,Bm7,117
C#m,D7,37
C#m,Gm,58
C#m,D5,10
C#m,F#m,10520
C#m,Am7,24
C#m,C/G,4
Em7,Bbm,1
Em7,Fmaj7,459
Em7,Cadd9,10981
Em7,C#m,23
Em7,Em7,1738
Em7,Cmaj7,763
Em7,Dm7,762
Em7,Eb,37
Em7,G7,55
Em7,G5,79
Em7,Dm,390
Em7,Asus4,486
Em7,Bb,77
Em7,C#,15
Em7,Bm,996
Em7,B7,100
Em7,Dsus4,2003
Em7,other,10961
Em7,A5,13
Em7,A7,2378
Em7,E5,14
Em7,G#,6
